,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
64,618,11,Everton,0,True,2023-08-20T13:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,98,3869,540,442,618,Omari Kellyman,45,MID,Aston Villa,Everton,Aston Villa
65,62,14,Liverpool,1,False,2023-08-19T14:00:00Z,3,1,2,62,0,0,0,3,0,0,0,1,0,0,0,1,0.6,1.8,2.0,0.4,1,0.00,0.00,0.00,2.88,50,-1340,13422,727,2067,62,Jaidon Anthony,49,MID,Liverpool,Bournemouth,Bournemouth
66,63,14,Liverpool,2,False,2023-08-19T14:00:00Z,3,1,2,90,0,0,0,3,0,0,0,0,0,0,0,5,15.8,3.8,7.0,2.7,1,0.41,0.07,0.48,3.08,55,-8971,62779,1980,10951,63,Philip Billing,54,MID,Liverpool,Bournemouth,Bournemouth
67,64,14,Liverpool,1,False,2023-08-19T14:00:00Z,3,1,2,14,0,0,0,0,0,0,0,0,0,0,0,7,3.4,27.8,2.0,3.3,0,0.00,0.19,0.19,0.08,50,-135,9519,1015,1150,64,David Brooks,49,MID,Liverpool,Bournemouth,Bournemouth
68,65,14,Liverpool,2,False,2023-08-19T14:00:00Z,3,1,2,62,0,0,0,3,0,0,0,0,0,0,0,8,9.6,1.5,0.0,1.1,1,0.00,0.00,0.00,2.88,50,-37,1971,197,234,65,Ryan Christie,50,MID,Liverpool,Bournemouth,Bournemouth
69,66,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-689,1967,34,723,66,Lewis Cook,50,MID,Liverpool,Bournemouth,Bournemouth
70,67,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-119,510,0,119,67,Siriki Dembélé,45,MID,Liverpool,Bournemouth,Bournemouth
71,68,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-666,1888,43,709,68,Ryan Fredericks,44,DEF,Liverpool,Bournemouth,Bournemouth
72,69,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,1607,26379,3519,1912,69,James Hill,40,DEF,Liverpool,Bournemouth,Bournemouth
73,70,14,Liverpool,1,False,2023-08-19T14:00:00Z,3,1,2,14,0,0,0,0,0,0,0,0,0,0,0,3,1.4,0.3,0.0,0.2,0,0.00,0.00,0.00,0.08,45,-303,1091,26,329,70,Lloyd Kelly,45,DEF,Liverpool,Bournemouth,Bournemouth
74,71,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-458,7263,412,870,71,Gavin Kilkenny,45,MID,Liverpool,Bournemouth,Bournemouth
75,72,14,Liverpool,1,False,2023-08-19T14:00:00Z,3,1,2,27,0,0,0,0,0,0,0,0,0,0,0,2,9.0,11.5,19.0,4.0,0,0.22,0.01,0.23,0.20,50,-5390,40292,685,6075,72,Justin Kluivert,49,MID,Liverpool,Bournemouth,Bournemouth
76,73,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-228,1650,34,262,73,Jamal Lowe,49,MID,Liverpool,Bournemouth,Bournemouth
77,74,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-365,3512,179,544,74,Emiliano Marcondes,45,MID,Liverpool,Bournemouth,Bournemouth
78,75,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-1356,7404,194,1550,75,Chris Mepham,44,DEF,Liverpool,Bournemouth,Bournemouth
79,76,14,Liverpool,1,False,2023-08-19T14:00:00Z,3,1,2,27,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,1.3,8.0,0.8,0,0.23,0.00,0.23,0.20,50,-5254,39780,1494,6748,76,Kieffer Moore,49,FWD,Liverpool,Bournemouth,Bournemouth
80,77,14,Liverpool,10,False,2023-08-19T14:00:00Z,3,1,2,90,0,0,0,3,0,1,0,1,0,8,3,37,70.4,0.0,0.0,7.0,1,0.00,0.00,0.00,3.08,45,-3109,68815,2923,6032,77,Norberto Murara Neto,45,GKP,Liverpool,Bournemouth,Bournemouth
81,78,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-1887,3162,27,1914,78,Dango Ouattara,49,MID,Liverpool,Bournemouth,Bournemouth
82,79,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-39,149,0,39,79,Ben Pearson,45,MID,Liverpool,Bournemouth,Bournemouth
83,80,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-852,56991,1581,2433,80,Darren Randolph,40,GKP,Liverpool,Bournemouth,Bournemouth
84,81,14,Liverpool,2,False,2023-08-19T14:00:00Z,3,1,2,75,0,0,0,3,0,0,0,0,0,0,0,8,1.8,11.2,0.0,1.3,1,0.00,0.01,0.01,3.00,50,-104,1839,139,243,81,Joe Rothwell,50,MID,Liverpool,Bournemouth,Bournemouth
85,82,14,Liverpool,6,False,2023-08-19T14:00:00Z,3,1,2,75,1,0,0,3,0,0,0,1,0,0,1,32,38.4,14.8,31.0,8.4,1,0.18,0.10,0.28,3.00,45,33524,130520,46499,12975,82,Antoine Semenyo,45,FWD,Liverpool,Bournemouth,Bournemouth
86,83,14,Liverpool,1,False,2023-08-19T14:00:00Z,3,1,2,83,0,0,0,3,0,0,0,0,0,0,0,18,25.2,10.6,0.0,3.6,1,0.00,0.06,0.06,3.08,45,-2409,13514,492,2901,83,Marcos Senesi,44,DEF,Liverpool,Bournemouth,Bournemouth
87,84,14,Liverpool,0,False,2023-08-19T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-729,1990,44,773,84,Adam Smith,44,DEF,Liverpool,Bournemouth,Bournemouth
88,85,14,Liverpool,5,False,2023-08-19T14:00:00Z,3,1,2,90,0,1,0,3,0,0,0,0,0,0,0,11,16.2,21.6,18.0,5.6,1,0.15,0.01,0.16,3.08,65,-10112,260913,15961,26073,85,Dominic Solanke,65,FWD,Liverpool,Bournemouth,Bournemouth
